Date,Open,High,Low,Close,Volume
11/18/2024,"84.82","84.85","83.66","84.08","25,278,119"
11/15/2024,"84.53","84.78","83.94","84.25","17,370,600"
11/14/2024,"85.03","85.76","84.34","84.47","15,740,730"
11/13/2024,"84.99","85.79","84.77","85.50","12,802,620"
11/12/2024,"84.50","85.53","84.50","84.99","12,860,190"
11/11/2024,"84.95","85.41","84.12","84.21","10,433,170"
11/08/2024,"84.28","85.42","84.23","84.83","14,396,540"
11/07/2024,"83.72","84.39","83.42","83.85","12,665,780"
11/06/2024,"85.14","85.54","82.06","83.44","19,974,039"
11/05/2024,"82.68","83.77","82.51","83.68","10,612,490"
11/04/2024,"82.20","82.91","82.00","82.45","11,731,040"
11/01/2024,"82.53","82.53","81.54","82.19","12,181,830"
10/31/2024,"81.29","82.44","81.22","81.95","15,538,970"
10/30/2024,"81.60","81.83","81.30","81.39","9,268,824"
10/29/2024,"82.67","82.86","81.67","81.70","9,682,403"
10/28/2024,"82.75","83.08","82.47","82.75","7,990,186"
10/25/2024,"83.20","83.30","82.44","82.51","8,959,412"
10/24/2024,"82.96","83.32","82.58","83.04","11,645,860"
10/23/2024,"81.89","83.34","81.80","83.27","13,058,240"
10/22/2024,"81.11","82.23","80.83","82.02","12,240,150"
10/21/2024,"81.23","81.55","80.72","80.81","9,750,376"
10/18/2024,"80.87","81.69","80.66","81.31","12,324,150"
10/17/2024,"81.27","81.50","80.65","80.89","9,424,705"
10/16/2024,"81.53","81.66","80.62","81.22","11,123,250"
10/15/2024,"80.67","81.82","80.51","81.65","13,276,220"
10/14/2024,"80.05","80.51","79.76","80.29","9,914,477"
10/11/2024,"79.70","80.13","79.37","80.10","9,570,734"
10/10/2024,"80.31","80.32","79.46","79.61","10,812,700"
10/09/2024,"79.82","80.50","79.75","80.40","12,413,030"
10/08/2024,"79.62","79.82","79.07","79.71","15,269,960"
10/07/2024,"80.69","80.94","78.98","79.10","16,791,650"
10/04/2024,"80.05","81.12","79.85","80.94","11,591,390"
10/03/2024,"80.30","80.58","79.85","80.43","11,640,420"
10/02/2024,"80.99","80.99","80.12","80.43","16,618,270"
10/01/2024,"80.68","81.53","80.44","81.27","16,054,250"
